article_id	title	source_id	source	from	to	keywords	author_no	1st_author	date	no_refs	abstract
acm857667	Visualizing Application Behavior on Superscalar Processors	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	10	null	Computer systems visualization, superscalar processors, visualization systems	4	P337868	10-24-1999	15	The advent of superscalar processors with out-of-order execution makes it increasingly difficult to determine how well an application is utilizing the processor and how to adapt the application to improve its performance. In this paper, we describe a visualization system for the analysis of application behavior on superscalar processors. Our system provides an overview-plus-detail display of the application's execution. A timeline view of pipeline performance data shows the overall utilization of the pipeline. This information is displayed using multiple time scales, enabling the user to drill down from a high-level application overview to a focus region of hundreds of cycles. This region of interest is displayed in detail using an animated cycle-by-cycle view of the execution. This view shows how instructions are reordered and executed and how functional units are being utilized. Additional context views correlate instructions in this detailed view with the relevant source code for the application. This allows the user to discover the root cause of the poor pipeline utilization and make changes to the application to improve its performance. This visualization system can be easily configured to display a variety of processor models and configurations. We demonstrate it for both the MXS and MMIX processor models.
acm857668	Constellation: A Visualization Tool for Linguistic Queries from MindNet	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	132	null	null	3	P278221	10-24-1999	14	Constellation is a visualization system for the results of queries from the MindNet natural language semantic network. Constellation is targeted at helping MindNet's creators and users refine their algorithms, as opposed to understanding the structure of language. We designed a special-purpose graph layout algorithm which exploits higher-level structure in addition to the basic node and edge connectivity. Our layout prioritizes the creation of a semantic space to encode plausibility instead of traditional graph drawing metrics like minimizing edge crossings. We make careful use of several perceptual channels both to minimize the visual impact of edge crossings and to emphasize highlighted constellations of nodes and edges.
acm857669	The Automated Multidimensional Detective	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	112	null	null	2	P14716	10-24-1999	9	Automation has arrived to Parallel Coordinates. A geometrically motivated classifier is presented and applied, with both training and testing stages, to 3 real data-sets. Our results compared to those from 23 other classifiers have the least error. The algorithm is based on parallel coordinates and: has very low computational complexity in the number of variables and the size of the data-set - contrasted with the very high or unknown (often unstated) complexity of other classifiers, the low complexity enables the rule derivation to be done in near real-time hence making the classification adaptive to changing conditions, provides comprehensible and explicit rules - contrasted to neural networks which are "black boxes", does dimensionality selection - where the minimal set of original variables (not transformed new variables as in Principal Component Analysis) required to state the rule is found, orders these variables so as to optimize the clarity of separation between the designated set and its complement - this solves the pesky "ordering problem" in parallel coordinates.The algorithm is display independent, hence it can be applied to very large in size and number of variables data-sets. Though it is instructive to present the results visually, the input size is no longer display-limited as for visual data mining.
acm857670	Visualizing Association Rules for Text Mining	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	120	null	Text Visualization, Information Visualization,Text Mining, Data Mining, Association Rule	3	P218971	10-24-1999	17	An association rule in data mining is an implication of the form X -&gt; Y where X is a set of antecedent items and Y is the consequent item. For years researchers have developed many tools to visualize association rules. However, few of these tools can handle more than dozens of rules, and none of them can effectively manage rules with multiple antecedents. Thus, it is extremely difficult to visualize and understand the association information of a large data set even when all the rules are available. This paper presents a novel visualization technique to tackle many of these problems. We apply the technology to a text mining study on large corpora. The results indicate that our design can easily handle hundreds of multiple antecedent association rules in a three-dimensional display with minimum human interaction, low occlusion percentage, and no screen swapping.
acm857671	A Java-Based Visual Mining Infrastructure and Applications	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	124	null	Hidden Structure and Relationship, Java-Based, Knowledge Discovery, Visual Mining	5	P398046	10-24-1999	9	Many real-world KDD (Knowledge Discovery &amp; Data Mining) applications involve the navigation of large volumes of information on the web, such as, Internet resources, hot topics, and telecom phone switches. Quite often users feel lost, confused, and overwhelmed with displays that contain too much information. This paper discusses a new content-driven visual mining infrastructure called VisMine, that uses several innovative techniques: (1) hidden visual structure and relationships for uncluttering displays; (2) simultaneous visual presentations for high-dimensional knowledge discovery; and (3) a new visual interface to plug in existing graphic toolkits for expanding its use in a wide variety of visual applications. We have applied this infrastructure to three data mining visualization applications - topic hierarchy for document navigation, web-based trouble shooting, and telecom switch mining.
acm857672	The Sunflower Visual Metaphor, a New Paradigm for Dimensional Compression	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	128	null	information retrieval, information visualization, knowledge management, text visualization, visualization	1	P573455	10-24-1999	11	This paper introduces the Sunflower visual metaphor for information visualization. The visual metaphor is presented as an alternative to current techniques of dimensional compression and the visualization tools that employ them. The paper discusses the motivation for the Sunflower paradigm, its implementation and critical factors for producing an effective visualization. A primary driver in this research effort has been to develop a visualization tool that facilitates browsing, knowledge discovery, and that supports learning through sense making and integration of new information.
acm857673	Aggregate Towers: Scale Sensitive Visualization and Decluttering of Geospatial Data	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	92	null	data visualization, information visualization, aggregation, zoom, cartography	1	P573181	10-24-1999	16	We have developed a technique, Aggregate Towers, that allows Geospatial data to be visualized across a range of map scales. We use a combination of data aggregation algorithms and dynamically aggregating data markers (e.g., icons or symbols) to accommodate interactive zooming by a user while maintaining a representation that remains intuitive, consistent across multiple scales, and uncluttered. This approach implicitly generates multiple levels of overview displays from a single set of underlying data.CR Categories and Subject Descriptors: H.5.2 [Information Interfaces and Presentation]: User Interfaces; I.3.6 [Computer Graphics]: Methodology and Techniques; I.3.7 [Computer Graphics]: Three-Dimensional Graphics and Realism Additional Keywords: data visualization, information visualization, aggregation, zoom, cartography
acm857674	Efficient Multi-Object Dynamic Query Histograms	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	84	null	Database, Dynamic Query, Probabilistic Algorithms	4	P190105	10-24-1999	15	Dynamic Queries offer continuous feedback during range queries, and have been shown to be effective and satisfying. Recent work has extended them to data-sets of 100,000 objects and, separately, to queries involving relations among multiple objects. The latter work enables filtering houses by properties of their owners, for instance. Our primary concern is providing feedback from histograms during Dynamic Query. The height of each histogram bar shows the count of selected objects whose attribute value falls into a given range. Unfortunately, previous efficient algorithms for single object queries over count in the case of multiple objects if, for instance, a house has multiple owners. This paper presents an efficient algorithm that with high probability closely approximates the true counts.
acm857675	VisageWeb: Visualizing WWW Data in Visage	acm857189	Proceedings of the 1999 IEEE Symposium on Information Visualization 	100	null	Information Visualization, User Interface, World Wide Web	3	P387576	10-24-1999	15	VisageWeb is an information-centric user interface to the World Wide Web built within the Visage data visualization environment. This paper traces the development of the VisageWeb project, using it to motivate an exploration of how an information-centric architecture copes with new visualization challenges. We conclude with a presentation of the VisageWeb prototype itself.
acm857679	Collaborative Geographic Visualization: Enabling Shared Understanding of Environmental Processes	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	137	null	collaboration, geographic visualization, spatio-temporal, user task analysis	5	P398954	10-09-2000	2	Most work with geospatial data, whether for scientific analysis, urban and groups carry out environmental planning or business decision-making. In contrast, geographic visualization environments and related geographic information technologies have been built and assessed only for use by individuals. In this paper, we describe a prototype same-time/different-place collaborative geovisualization environment. Next, we outline an approach to understanding use and usability and present results of interviews with domain experts about the ways in which collaborative geovisualization might enable group work at a distance. Finally, we present goals for further research.
acm857680	ThemeRiver: Visualizing Theme Changes over Time	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	115	null	timeline, trend analysis, visualization metaphors	3	P421226	10-09-2000	11	ThemeRiver(tm) is a prototype system that visualizes thematic variations over time within a large collection of documents. The "river" flows from left to right through time, changing width to depict changes in thematic strength of temporally associated documents. Colored "currents" flowing within the river narrow or widen to indicate decreases or increases in the strength of an individual topic or a group of topics in the associated documents. The river is shown within the context of a timeline and a corresponding textual presentation of external events.
acm857681	New Methods for the Visualization of Electric Power System Information	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	131	null	Electric Power System Visualization, Electric Utility Restructuring, Interactive 3D	2	P281357	10-09-2000	0	One area in need of new research in information visualization is the operation and analysis of large-scale electric power systems. In analyzing power systems, one is usually confronted with a large amount of multivariate data. With systems containing tens of thousands of electrical nodes (buses), a key challenge is to present this data in a form so the user can assess the state of the system in an intuitive and quick manner. This is particularly true when trying to analyze relationships between actual network power flows, the scheduled power flows, and the capacity of the transmission system. With electric industry restructuring and the move towards having a single entity, such as an independent system operator or pool, operate a much larger system, this need has become more acute. This paper presents several power system visualization techniques to help in this task. These techniques include animation of power system flow values, contouring of bus and transmission line flow values, data aggregation techniques and interactive 3D data visualization.
acm857682	Lighthouse: Showing the Way to Relevant Information	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	125	null	null	2	P20682	10-09-2000	2	Lighthouse is an on-line interface for a Web-based information retrieval system. It accepts queries from a user, collects the retrieved documents from the search engine, organizes and presents them to the user. The system integrates two known presentations of the retrieved results -- the ranked list and clustering visualization -- in a novel and effective way. It accepts the user's input and adjusts the document visualization accordingly. We give a brief overview of the system.
acm857683	Focus+Context Display and Navigation Techniques for Enhancing Radial, Space-Filling Hierarchy Visualizations	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	57	null	animation, circular/radial displays, focus+context, hierarchy visualizations, information visualization, overview and detail	2	P146109	10-09-2000	15	Radial, space-filling visualizations can be useful for depicting information hierarchies, but they suffer from one major problem. As the hierarchy grows in size, many items become small, peripheral slices that are difficult to distinguish. We have developed three visualization/interaction techniques that provide flexible browsing of the display. The techniques allow viewers to examine the small items in detail while providing context within the entire information hierarchy. Additionally, smooth transitions between views help users maintain orientation within the complete information space.
acm857684	Density Functions for Visual Attributes and Effective Partitioning in Graph Visualization	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	49	null	clustering, graph navigation, graph visualization, metrics	3	P117429	10-09-2000	18	Two tasks in Graph Visualization require partitioning: the assignment of visual attributes and divisive clustering. Often, we would like to assign a color or other visual attributes to a node or edge that indicates an associated value. In an application involving divisive clustering, we would like to partition the graph into subsets of graph elements based on metric values in such a way that all subsets are evenly populated. Assuming a uniform distribution of metric values during either partitioning or coloring can have undesired effects such as empty clusters or only one level of emphasis for the entire graph. Probability density functions derived from statistics about a metric can help systems succeed at these tasks.
acm857685	Visualizing Massive Multi-Digraphs	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	39	null	graphs, hierarchies, massive data sets, out-of-core algorithms, visualization	2	P131535	10-09-2000	17	We describe MGV, an integrated visualization and exploration system for massive multi-digraph navigation. MGV's only assumption is that the vertex set of the underlying digraph corresponds to the set of leaves of a predetermined tree T. MGV builds an out-of-core graph hierarchy and provides mechanisms to plug in arbitrary visual representations for each graph hierarchy slice. Navigation from one level to another of the hierarchy corresponds to the implementation of a drill-down interface. In order to provide the user with navigation control and interactive response, MGV incorporates a number of visualization techniques like interactive pixel-oriented 2D and 3D maps, statistical displays, multi-linked views, and a zoomable label based interface. This makes the association of geographic information and graph data very natural. MGV follows the client-server paradigm and it is implemented in C and Java-3D. We highlight the main algorithmic and visualization techniques behind the tools and point out along the way several possible application scenarios. Our techniques are being applied to multi-graphs defined on vertex sets with sizes ranging from 100 million to 250 million vertices.
acm857686	Polaris: A System for Query Analysis and Visualization of Multi-Dimensional Relational Databases	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	5	null	database visualization, database analysis, visualization formalism, multidimensional databases	2	P337868	10-09-2000	29	In the last several years, large multi-dimensional databases have become common in a variety of applications such as data warehousing and scientific computing. Analysis and exploration tasks place significant demands on the interfaces to these databases. Because of the size of the data sets, dense graphical representations are more effective for exploration than spreadsheets and charts. Furthermore, because of the exploratory nature of the analysis, it must be possible for the analysts to change visualizations rapidly as they pursue a cycle involving first hypothesis and then experimentation.In this paper, we present Polaris, an interface for exploring large multi-dimensional databases that extends the well-known Pivot Table interface. The novel features of Polaris include an interface for constructing visual specifications of table-based graphical displays and the ability to generate a precise set of relational queries from the visual specifications. The visual specifications can be rapidly and incrementally developed, giving the analyst visual feedback as they construct complex queries and visualizations.
acm857687	Getting Portals to Behave	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	15	null	Data Visualization, Multiple Views, Portals	2	P46262	10-09-2000	16	Data visualization environments help users understand and analyze their data by permitting interactive browsing of graphical representations of the data. To further facilitate understanding and analysis, many visualization environments have special features known as portals, which are sub-windows of a data canvas. Portals provide a way to display multiple graphical representations simultaneously, in a nested fashion. This makes portals an extremely powerful and flexible paradigm for data visualization. Unfortunately, with this flexibility comes complexity. There are over a hundred possible ways each portal can be configured to exhibit different behaviors. Many of these behaviors are confusing and certain behaviors can be inappropriate for a particular setting. It is desirable to eliminate confusing and inappropriate behaviors. In this paper, we construct taxonomy of portal behaviors and give recommendations to help designers of visualization systems decide which behaviors are intuitive and appropriate for a particular setting. We apply these recommendations to an example setting that is fully visually programmable and analyze the resulting reduced set of behaviors. Finally, we consider a real visualization environment and demonstrate some problems associated with behaviors that do not follow our recommendations.
acm857688	A Scalable Framework for Information Visualization	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	27	null	Focus+Context, clustering, hierarchy, information visualization, multi-dimensional information space	3	P194797	10-09-2000	23	This paper describes major concepts of a scalable information visualization framework. We assume that the exploration of heterogeneous information spaces at arbitrary levels of detail requires a suitable preprocessing of information quantities, the combination of different graphical interfaces and the illustration of the frame of reference of given information sets. The innovative features of our system include dynamic hierarchy computation and user controlled refinement of those hierarchies for preprocessing unstructured information spaces, a new Focus+Context technique for visualizing complex hierarchy graphs, a new paradigm for visualizing information structures within their frame of reference and a new graphical interface that utilizes textual similarities to arrange objects of high dimensional information space in 3-dimensional visualization space.
acm857689	GADGET/IV: A Taxonomic Approach to Semi-Automatic Design of Information Visualization Applications Using Modular Visualization Environment	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	77	null	Information visualization, Modular Visualization Environment (MVE), World Wide Web (WWW), knowledge base, taxonomy, visualization systems	4	P117266	10-09-2000	20	Since novice users of visualization systems lack the knowledge and expertise in data visualization, it is a tough task for them to generate efficient and effective visualizations that allow them to comprehend information embedded in the data. Therefore, systems supporting the users to design appropriate visualizations are of great importance. The GADGET system, which has been developed in our previous study, interactively helps them design scientific visualization applications by presenting appropriate MVE prototypes according to the specification of the visualization goals expressed mainly with the Wehrend matrix. This paper attempts to extend this approach in order to develop a system named GADGET/IV}, which is intended to provide the users with an environment for semi-automatic design of information visualization applications. To this end, a novel goal-oriented taxonomy of information visualization techniques is presented. In addition, an initial design of the system architecture and user assistance flow is described. The usefulness of the GADGET/IV system is illustrated with example problems of Web site access frequency analysis.
acm857690	Information Content Measures of Visual Displays	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	99	null	information content, information theory, information visualization, metrics	2	P573204	10-09-2000	10	With an increase in the number of different visualization techniques, it becomes necessary to develop a measure for evaluating the effectiveness of visualizations. Metrics to evaluate visual displays were developed based on measures of information content developed by Shannon and used in communication theory. These measures of information content can be used to quantify the relative effectiveness of displays.
acm857691	A Taxonomy of Visualization Techniques Using the Data State Reference Model	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	69	null	Data State Model, Information Visualization, Operators, Reference Model, Taxonomy, Techniques	1	P74502	10-09-2000	8	In previous work, researchers have attempted to construct taxonomies of information visualization techniques by examining the data domains that are compatible with these techniques. This is useful because implementers can quickly identify various techniques that can be applied to their domain of interest. However, these taxonomies do not help the implementers understand how to apply and implement these techniques. In this paper, we will extend and then propose a new way to taxonomize information visualization techniques by using the Data State Model [Chi98]. In fact, as the taxonomic analysis in this paper will show, many of the techniques share similar operating steps that can easily be reused. The paper shows that the Data State Model not only helps researchers understand the space of design, but also helps implementers understand how information visualization techniques can be applied more broadly.
acm857692	From Metaphor to Method: Cartographic Perspectives on Information Visualization	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	91	null	Cartographic Generalization, Cartography, Feature Labeling, Information Visualization, Maps	1	P572942	10-09-2000	23	By virtue of their spatio-cognitive abilities, humans are able to navigate through geographic space as well as meaningfully communicate geographic information represented in cartographic form. The current dominance of spatial metaphors in information visualization research is the result of the realization that those cognitive skills also have value in the exploration and analysis of non-geographic information. While mapping or landscape metaphors are routinely used in this field, there is a noticeable lack of consideration for existing cartographic expertise. This is especially apparent whenever problematic issues are encountered, such as graphic complexity or feature labeling. There are a number of areas in which a cartographic outlook could provide a valuable perspective. This paper discusses how geographic and cartographic notions may influence the design of visualizations for textual information spaces. Map projections, generalization, feature labeling and map design issues are discussed.
acm857693	Visualizing Sequential Patterns for Text Mining	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	105	null	null	5	P218971	10-09-2000	11	A sequential pattern in data mining is a finite series of elements such as A .B .C .D where A, B, C, and D are elements of the same domain. The mining of sequential patterns is designed to find patterns of discrete events that frequently happen in the same arrangement along a timeline. Like association and clustering, the mining of sequential patterns is among the most popular knowledge discovery techniques that apply statistical measures to extract useful information from large datasets. As our computers become more powerful, we are able to mine bigger datasets and obtain hundreds of thousands of sequential patterns in full detail. With this vast amount of data, we argue that neither data mining nor visualization by itself can manage the information and reflect the knowledge effectively. Subsequently, we apply visualization to augment data mining in a study of sequential patterns in large text corpora. The result shows that we can learn increasingly quickly in an integrated visual data-mining environment.
acm857694	Redefining the Focus and Context of Focus+Context Visualizations	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	85	null	Focus+Context techniques, Information Visualization, Personal Digital Assistants	2	P572183	10-09-2000	24	The increasing diversity of computers, especially among small mobile devices such as mobile phones and PDAs, raise new questions about information visualization techniques developed for the desktop computer. Using a series of examples ranging from applications for ordinary desktop displays to web-browsers and other applications for PDAs, we describe how a focus+context technique, Flip Zooming, is changed due to the situation it is used in. Based on these examples, we discuss how the use of "focus" and "context" in focus+context techniques change in order to fit new areas of use for information visualization.
acm857697	Metaphor-Aware 3D Navigation	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	155	null	D Information Visualization, 3D Navigation, 3D Visual Metaphors, Metaphor-Aware Navigation, Virtual Worlds	6	P572992	10-09-2000	5	Anyone who has ever experienced three-dimensional (3D) interfaces will agree that navigating in a 3D world is not a trivial task. The user interface of traditional 3D browsers provides simple navigation tools that allow the user to modify the camera parameters such as orientation, position and focal. Using these tools, it is frequent that, after some movements, the user is lost in the virtual 3D space and usually tries to restart from the beginning.This paper presents how the 3D navigation problem is addressed in the context of the CyberNet project. Our underlying principle is to help the user navigate by adapting the navigation tool to the virtual world. We feel that the navigation schemes provided by the 3D browsers are too generic for some specific 3D tools and we have developed adaptive navigation features that are dependent on the 3D metaphor used for visualizing the information and on the user's task.
acm857698	Interactive Problem Solving via Algorithm Visualization	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	145	null	Interactive information visualization, combinatorial search, configuration design, human-computer collaboration	2	P342898	10-09-2000	10	COMIND is a tool for conceptual design of industrial products. It helps designers define and evaluate the initial design space by using search algorithms to generate sets of feasible solutions. Two algorithm visualization techniques, Kaleidoscope and Lattice, and one visualization of n-dimensional data, MAP, are used to externalize the machine's problem solving strategies and the tradeoffs as a result of using these strategies. After a short training period, users are able to discover tactics to explore design space effectively, evaluate new design solutions, and learn important relationships among design criteria, search speed, and solution quality. We thus propose that visualization can serve as a tool for interactive intelligence, i.e., human-machine collaboration for solving complex problems.
acm857699	Using Visualization to Detect Plagiarism in Computer Science Classes	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	173	null	N-gram analysis, Pattern Matching, Plagiarism, Visualization	2	P349300	10-09-2000	5	This paper introduces a number of general methods for visualizing commonality in sets of text files. Each visualization simultaneously compares one file in the set to all other files in the set. These visualizations, which can be computed in O(n) time and space, are explained and then applied to the problem of detecting plagiarism in large computer science classes. A case study is presented and sample visualizations are provided. Finally, a new interactive tool that can be used to produce and manipulate these visualizations is presented.
acm857700	Creativity Complexity and Precision: Information Visualization for (Landscape) Architecture	acm857190	Proceedings of the IEEE Symposium on Information Vizualization 2000 	167	null	Information visualization, architecture, work materials, context, spatio-temporal order, electronic workspace	5	P573301	10-09-2000	5	Drawing on ethnographic studies of (landscape) architects at work, this paper presents a human-centered approach to information visualization. A 3D collaborative electronic workspace allows people to configure, save, and browse arrangements of heterogeneous work materials. Spatial arrangements and links are created and maintained as an integral part of ongoing work with "live" documents and objects. The result is an extension of the physical information space of the architects' studio that utilizes the potential of electronic data storage, visualization, and network technologies to support work with information in context.
acm857702	Graphic Data Display for Cardiovascular System Case Study	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	163	null	Anesthesiology, Display Design, Graphic Displays, Medicine, Metaphor Displays, Visualization	6	P466509	10-22-2001	13	Our multi-disciplinary group has developed a visual representation for cardiovascular physiological variables. This enhances a clinician's ability to detect and rapidly respond to critical events. The integrated and intuitive display communicates a patient's cardiovascular state so that it is easily and quickly understood without prior training. The display is designed to show patterns of functional relationships that aid in the detection, diagnosis, and treatment of a critical event.
acm857703	Case Study: Design and Assessment of an Enhanced Geographic Information System for Exploration of Multivariate Health Statistics	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	159	null	geographic visualization, health statistics, multivariate statistical visualization	3	P244729	10-22-2001	5	An implementation of an interactive parallel coordinate plot linked with the ArcView(r) geographic information system (GIS) is presented. The integrated geographic visualization system was created for the exploratory analysis of mortality data from specific cancers as they relate, specifically spatially, to other mortality causes and to demographic and socioeconomic risk factors. The linked and interactive parallel coordinate plot was tested with and compared to a similarly interactive and linked scatterplot in usability assessments designed to assess each representation's relative effectiveness for exploration of these data sets. Evidence from these studies suggests that multivariate, spatial, and/or time series exploration is enhanced through the use of the parallel coordinate plot linked to maps.
acm857704	Effective Graph Visualization Via Node Grouping	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	51	null	Experimental Studies, Force-Directed Drawing, Graph Drawing, Graph Visualization, Node Grouping, Orthogonal Drawing	2	P466953	10-22-2001	31	We discuss four methodologies for the application of node grouping in graph visualization. In addition, we introduce techniques for force-directed and orthogonal drawing which use node grouping information and have been shown in experiments to perform better than previous techniques. Not only do these techniques have significantly improved performance with respect to standard aesthetic measures, but they also attain qualitative improvement.
acm857705	Animated Exploration of Dynamic Graphs with Radial Layout	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	43	null	graph drawing, animation, interaction	4	P339321	10-22-2001	22	We describe a new animation technique for supporting interactive exploration of a graph. We use the well-known radial tree layout method, in which the view is determined by the selection of a focus node. Our main contribution is a method for animating the transition to a new layout when a new focus node is selected. In order to keep the transition easy to follow, the animation linearly interpolates the polar coordinates of the nodes, while enforcing ordering and orientation constraints. We apply this technique to visualizations of social networks and of the Gnutella file-sharing network, and discuss the results from our informal usability tests.
acm857706	Graph Sketches	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	67	null	graphs, hierarchies., massive data sets, visualization	3	P131535	10-22-2001	13	We introduce the notion of Graph Sketches. They can be thought of as visual indices that guide the navigation of a multi-graph too large to fit on the available display. We adhere to the Visual Information-Seeking Mantra: Overview first, zoom and filter, then details on demand. Graph Sketches are incorporated into MGV, an integrated visualization and exploration system for massive multi-digraph navigation. We highlight the main algorithmic and visualization tasks behind the computation of Graph Sketches and illustrate several application scenarios. Graph Sketches will be used to guide the navigation of multi-digraphs defined on vertex sets with sizes ranging from 100 to 250 million vertices.
acm857707	Visualization of State Transition Graphs	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	59	null	Clustering, Cone Trees, Finite Automaton, Finite State Machines, Graph Visualization, State Transition Diagrams, Symmetry.	3	P573090	10-22-2001	13	A new method for the visualization of state transition graphs is presented. Visual information is reduced by clustering nodes, forming a tree structure of related clusters. This structure is visualized in three dimensions with concepts from cone trees and emphasis on symmetry. The resulting visualization makes it easier to relate features in the visualization of the state transition graph to semantic concepts in the corresponding process and vice versa.
acm857708	Collapsible Cylindrical Trees: A Fast Hierarchical Navigation Technique	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	79	null	D graphics, VRML, XML, hierarchy, interactive tree, sitemap, visualization, web navigation	2	P343763	10-22-2001	17	This paper proposes a new visualization and interaction technique for medium-sized trees, called Collapsible Cylindrical Trees (CCT). Child nodes are mapped on rotating cylinders, which will be dynamically displayed or hidden to achieve a useful balance of detail and context. Besides a comprehensible three-dimensional visualization of trees, the main feature of CCT is a very fast and intuitive interaction with the displayed nodes. Only a single click is needed to reach every node and perform an action on it, such as displaying a web page. The CCT browsing technique was developed for interaction with web hierarchies but is not limited to this domain. We also present sample implementations of CCT using VRML, which show the usefulness of this intuitive tree navigation technique.
acm857709	Botanical Visualization of Huge Hierarchies	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	87	null	botanical tree, directory tree, huge hierarchy, logical tree, phyllotaxis, strands, tree visualization	3	P573068	10-22-2001	14	A new method for the visualization of huge hierarchical data structures is presented. The method is based on the observation that we can easily see the branches, leaves and their arrangement in a botanical tree, despite of the large number of elements. The strand model of Holton is used to convert an abstract tree into a geometric model. Non-leaf nodes are mapped to branches and child nodes to sub-branches. A naive application of this model leads to unsatisfactory results, hence it is tailored to suit our purposes better. Continuing branches are emphasized, long branches are contracted, and sets of leaves are shown as fruit. The method is applied to the visualization of directory structures. The elements, directories and files, as well as their relations can easily be extracted, thereby showing that the use of methods from botanical modeling can be effective for information visualization.
acm857710	Ordered Treemap Layouts	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	73	null	hierarchies, information visualization, ordered treemaps, treemaps, trees	2	P28685	10-22-2001	11	Treemaps, a space-filling method of visualizing large hierarchical data sets, are receiving increasing attention. Several algorithms have been proposed to create more useful displays by controlling the aspect ratios of the rectangles that make up a treemap. While these algorithms do improve visibility of small items in a single layout, they introduce instability over time in the display of dynamically changing data, and fail to preserve an ordering of the underlying data. This paper introduces the ordered treemap, which addresses these two shortcomings. The ordered treemap algorithm ensures that items near each other in the given order will be near each other in the treemap layout. Using experimental evidence from Monte Carlo trials, we show that compared to other layout algorithms ordered treemaps are more stable while maintaining relatively favorable aspect ratios of the constituent rectangles. A second test set uses stock market data.
acm857711	D vs 3D: Implications on Spatial Memory	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	139	null	D, 3D, Spatial memory, hierarchical representations	2	P573300	10-22-2001	11	Since the introduction of graphical user interfaces (GUI) and two-dimensional (2D ) displays, the concept of space has entered the information technology (IT) domain. Interactions with computers were re-encoded in terms of fidelity to the interactions with real environment and consequently in terms of fitness to cognitive and spatial abilities. A further step in this direction was the creation of three-dimensional (3D) displays which have amplified the fidelity of digital representations. However, there are no systematic results evaluating the extent to which 3D displays better support cognitive spatial abilities. The aim of this research is to empirically investigate spatial memory performance across different instances of 2D and 3D displays. Two experiments were performed. The displays used in the experimental situation represented hierarchical information structures. The results of the test show that the 3D display does improve performances in the designed spatial memory task.
acm857712	A Comparison of 2-D Visualizations of Hierarchies	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	131	null	decision tree, icicle plot, tree ring, treemap	2	P573492	10-22-2001	8	This paper describes two experiments that compare four two-dimensional visualizations of hierarchies: organization chart, icicle plot, treemap, and tree ring. The visualizations are evaluated in the context of decision tree analyses prevalent in data mining applications. The results suggest that either the tree ring or icicle plot is equivalent to the organization chart.
acm857713	An Empirical Comparison of Three Commercial Information Visualization Systems	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 	123	null	null	1	P14721	10-22-2001	13	An empirical comparison of three commercial information visualization systems on three different databases is presented. The systems use different paradigms for visualizing data. Tasks were selected to be "ecologically relevant", i.e. meaningful and interesting in the respective domains. Users of one system turned out to solve problems significantly faster than users of the other two, while users of another system would supply significantly more correct answers. Reasons for these results and general observations about the studied systems are discussed.
